ebird_code,scientific_name,common_name,alpha
afbduc1,Anas sparsa,African Black Duck,
yebduc1,Anas undulata,Yellow-billed Duck,
melduc1,Anas melleri,Meller's Duck,
pabduc1,Anas superciliosa,Pacific Black Duck,
hawduc,Anas wyvilliana,Hawaiian Duck,HAWD
phiduc1,Anas luzonica,Philippine Duck,
isbduc1,Anas poecilorhyncha,Indian Spot-billed Duck,
spbduc,Anas zonorhyncha,Eastern Spot-billed Duck,ESBD
mallar3,Anas platyrhynchos,Mallard,MALL
motduc,Anas fulvigula,Mottled Duck,MODU
ambduc,Anas rubripes,American Black Duck,ABDU
mexduc,Anas diazi,Mexican Duck,MEDU
captea1,Anas capensis,Cape Teal,
whcpin,Anas bahamensis,White-cheeked Pintail,WCHP
rebduc1,Anas erythrorhyncha,Red-billed Teal,
yebpin1,Anas georgica,Yellow-billed Pintail,
eatpin1,Anas eatoni,Eaton's Pintail,
norpin,Anas acuta,Northern Pintail,NOPI
gnwtea,Anas crecca,Green-winged Teal,GWTE
yebtea1,Anas flavirostris,Yellow-billed Teal,
spetea3,Anas andium,Andean Teal,
suntea1,Anas gibberifrons,Sunda Teal,
andtea1,Anas albogularis,Andaman Teal,
gretea1,Anas gracilis,Grey Teal,
chetea1,Anas castanea,Chestnut Teal,
bertea1,Anas bernieri,Bernier's Teal,
brotea1,Anas chlorotis,Brown Teal,
caitea1,Anas nesiotis,Campbell Teal,
martea1,Marmaronetta angustirostris,Marbled Duck,
recpoc,Netta rufina,Red-crested Pochard,
robpoc1,Netta peposaca,Rosy-billed Pochard,
canvas,Aythya valisineria,Canvasback,CANV
redhea,Aythya americana,Redhead,REDH
compoc,Aythya ferina,Common Pochard,COMP
ferduc,Aythya nyroca,Ferruginous Duck,
nezsca1,Aythya novaeseelandiae,New Zealand Scaup,
rinduc,Aythya collaris,Ring-necked Duck,RNDU
tufduc,Aythya fuligula,Tufted Duck,TUDU
gresca,Aythya marila,Greater Scaup,GRSC
lessca,Aythya affinis,Lesser Scaup,LESC
steeid,Polysticta stelleri,Steller's Eider,STEI
speeid,Somateria fischeri,Spectacled Eider,SPEI
kineid,Somateria spectabilis,King Eider,KIEI
comeid,Somateria mollissima,Common Eider,COEI
harduc,Histrionicus histrionicus,Harlequin Duck,HADU
sursco,Melanitta perspicillata,Surf Scoter,SUSC
whwsco3,Melanitta fusca,Velvet Scoter,VESC
whwsco2,Melanitta deglandi,White-winged Scoter,WWSC
whwsco1,Melanitta stejnegeri,Stejneger's Scoter,STSC
blksco1,Melanitta nigra,Common Scoter,COSC
blksco2,Melanitta americana,Black Scoter,BLSC
lotduc,Clangula hyemalis,Long-tailed Duck,LTDU
buffle,Bucephala albeola,Bufflehead,BUFF
comgol,Bucephala clangula,Common Goldeneye,COGO
bargol,Bucephala islandica,Barrow's Goldeneye,BAGO
smew,Mergellus albellus,Smew,SMEW
hoomer,Lophodytes cucullatus,Hooded Merganser,HOME
bramer1,Mergus octosetaceus,Brazilian Merganser,
commer,Mergus merganser,Common Merganser,COME
rebmer,Mergus serrator,Red-breasted Merganser,RBME
scsmer1,Mergus squamatus,Scaly-sided Merganser,
blhduc1,Heteronetta atricapilla,Black-headed Duck,
masduc,Nomonyx dominicus,Masked Duck,MADU
rudduc,Oxyura jamaicensis,Ruddy Duck,RUDU
andduc1,Oxyura ferruginea,,
lakduc1,Oxyura vittata,Lake Duck,
blbduc1,Oxyura australis,Blue-billed Duck,
macduc1,Oxyura maccoa,Maccoa Duck,
whhduc1,Oxyura leucocephala,White-headed Duck,
musduc1,Biziura lobata,Musk Duck,
ausbrt1,Alectura lathami,Australian Brushturkey,
watbrt1,Aepypodius arfakianus,Wattled Brushturkey,
rebbrt1,Talegalla cuvieri,Red-billed Brushturkey,
bkbbrt1,Talegalla fuscirostris,Black-billed Brushturkey,
bncbrt1,Talegalla jobiensis,Collared Brushturkey,
micscr1,Megapodius laperouse,Micronesian Megapode,
tabscr1,Megapodius cumingii,Philippine Megapode,
tanscr1,Megapodius tenimberensis,Tanimbar Megapode,
dusscr1,Megapodius freycinet,Dusky Megapode,
dusscr3,Megapodius geelvinkianus,Biak Scrubfowl,
melscr1,Megapodius eremita,Melanesian Megapode,
vanscr1,Megapodius layardi,Vanuatu Megapode,
negscr1,Megapodius decollatus,New Guinea Scrubfowl,
