composite,scientific_name,ebird_code,common_name,alpha
Ramphocelus bresilius_Brazilian Tanager,Ramphocelus bresilius,,,
Ramphocelus carbo_Silver-beaked Tanager,Ramphocelus carbo,sibtan2,Silver-beaked Tanager,
Ramphocelus dimidiatus_Crimson-backed Tanager,Ramphocelus dimidiatus,crbtan1,Crimson-backed Tanager,CBTA
Ramphocelus flammigerus_Flame-rumped Tanager,Ramphocelus flammigerus,flrtan1,Flame-rumped Tanager,FRTA
Ramphocelus melanogaster_Black-bellied Tanager,Ramphocelus melanogaster,bkbtan1,Huallaga Tanager,
Ramphocelus nigrogularis_Masked Crimson Tanager,Ramphocelus nigrogularis,mactan1,Masked Crimson Tanager,
Ramphocelus passerinii_Scarlet-rumped Tanager,Ramphocelus passerinii,y00599,Scarlet-rumped Tanager,SCRT
Ramphocelus sanguinolentus_Crimson-collared Tanager,Ramphocelus sanguinolentus,crctan1,Crimson-collared Tanager,CCTA
Ramphodon naevius_Saw-billed Hermit,Ramphodon naevius,sabher1,Saw-billed Hermit,
Ramphomicron microrhynchum_Purple-backed Thornbill,Ramphomicron microrhynchum,pubtho1,Purple-backed Thornbill,
Ramphotrigon flammulatum_Flammulated Flycatcher,Ramphotrigon flammulatum,flafly1,Flammulated Flycatcher,FLFL
Ramphotrigon fuscicauda_Dusky-tailed Flatbill,Ramphotrigon fuscicauda,dutfla1,Dusky-tailed Flatbill,
Ramphotrigon megacephalum_Large-headed Flatbill,Ramphotrigon megacephalum,lahfla2,Large-headed Flatbill,
Ramphotrigon ruficauda_Rufous-tailed Flatbill,Ramphotrigon ruficauda,rutfla1,Rufous-tailed Flatbill,
Ramsayornis modestus_Brown-backed Honeyeater,Ramsayornis modestus,brbhon1,Brown-backed Honeyeater,
Rauenia bonariensis_Blue-and-yellow Tanager,Rauenia bonariensis,baytan3,Blue-and-yellow Tanager,
Recurvirostra americana_American Avocet,Recurvirostra americana,ameavo,American Avocet,AMAV
Recurvirostra andina_Andean Avocet,Recurvirostra andina,andavo1,Andean Avocet,
Recurvirostra avosetta_Pied Avocet,Recurvirostra avosetta,pieavo1,Pied Avocet,
Regulus goodfellowi_Flamecrest,Regulus goodfellowi,flamec1,Flamecrest,
Regulus ignicapilla_Common Firecrest,Regulus ignicapilla,firecr1,Common Firecrest,
Regulus madeirensis_Madeira Firecrest,Regulus madeirensis,firecr3,Madeira Firecrest,
Regulus regulus_Goldcrest,Regulus regulus,goldcr1,Goldcrest,
Regulus satrapa_Golden-crowned Kinglet,Regulus satrapa,gockin,Golden-crowned Kinglet,GCKI
Reinwardtipicus validus_Orange-backed Woodpecker,Reinwardtipicus validus,,,
Reinwardtoena reinwardti_Great Cuckoo-Dove,Reinwardtoena reinwardti,grcdov2,Great Cuckoo-Dove,
Remiz consobrinus_Chinese Penduline-Tit,Remiz consobrinus,chptit1,Chinese Penduline Tit,
Remiz coronatus_White-crowned Penduline-Tit,Remiz coronatus,wcptit1,White-crowned Penduline Tit,
Remiz pendulinus_Eurasian Penduline-Tit,Remiz pendulinus,euptit1,Eurasian Penduline Tit,
Rhabdotorrhinus corrugatus_Wrinkled Hornbill,Rhabdotorrhinus corrugatus,wrihor1,Wrinkled Hornbill,
Rhabdotorrhinus exarhatus_Sulawesi Hornbill,Rhabdotorrhinus exarhatus,sulhor1,Sulawesi Hornbill,
Rhaphidura leucopygialis_Silver-rumped Needletail,Rhaphidura leucopygialis,sirnee1,Silver-rumped Spinetail,
Rhea americana_Greater Rhea,Rhea americana,grerhe1,Greater Rhea,
Rhegmatorhina cristata_Chestnut-crested Antbird,Rhegmatorhina cristata,chcant1,Chestnut-crested Antbird,
Rhegmatorhina gymnops_Bare-eyed Antbird,Rhegmatorhina gymnops,baeant1,Bare-eyed Antbird,
Rhegmatorhina hoffmannsi_White-breasted Antbird,Rhegmatorhina hoffmannsi,whbant5,White-breasted Antbird,
Rhegmatorhina melanosticta_Hairy-crested Antbird,Rhegmatorhina melanosticta,hacant1,Hairy-crested Antbird,
Rhinocrypta lanceolata_Crested Gallito,Rhinocrypta lanceolata,cregal1,Crested Gallito,
Rhinopomastus cyanomelas_Common Scimitarbill,Rhinopomastus cyanomelas,cosbil1,Common Scimitarbill,
Rhinortha chlorophaea_Raffles's Malkoha,Rhinortha chlorophaea,rafmal1,Raffles's Malkoha,
Rhipidura albicollis_White-throated Fantail,Rhipidura albicollis,whtfan1,White-throated Fantail,
Rhipidura albiscapa_Gray Fantail,Rhipidura albiscapa,gryfan1,Grey Fantail,
Rhipidura albogularis_Spot-breasted Fantail,Rhipidura albogularis,spbfan1,White-spotted Fantail,
Rhipidura albolimbata_Friendly Fantail,Rhipidura albolimbata,frifan1,Friendly Fantail,
Rhipidura atra_Black Fantail,Rhipidura atra,blafan1,Black Fantail,
Rhipidura aureola_White-browed Fantail,Rhipidura aureola,whbfan2,White-browed Fantail,
Rhipidura brachyrhyncha_Dimorphic Fantail,Rhipidura brachyrhyncha,dimfan1,Dimorphic Fantail,
Rhipidura cyaniceps_Blue-headed Fantail,Rhipidura cyaniceps,blhfan1,Blue-headed Fantail,
Rhipidura dryas_Arafura Fantail,Rhipidura dryas,arafan1,Arafura Fantail,
Rhipidura fuliginosa_New Zealand Fantail,Rhipidura fuliginosa,nezfan1,New Zealand Fantail,
Rhipidura javanica_Malaysian Pied-Fantail,Rhipidura javanica,piefan1,Sunda Pied Fantail,
Rhipidura leucophrys_Willie-wagtail,Rhipidura leucophrys,wilwag1,Willie Wagtail,
Rhipidura leucothorax_White-bellied Thicket-Fantail,Rhipidura leucothorax,wbtfan1,White-bellied Thicket Fantail,
Rhipidura maculipectus_Black Thicket-Fantail,Rhipidura maculipectus,bltfan1,Black Thicket Fantail,
Rhipidura nigritorquis_Philippine Pied-Fantail,Rhipidura nigritorquis,phipif1,Philippine Pied Fantail,
Rhipidura perlata_Spotted Fantail,Rhipidura perlata,spofan1,Spotted Fantail,
Rhipidura rufifrons_Rufous Fantail,Rhipidura rufifrons,ruffan13,Australian Rufous Fantail,
Rhipidura rufiventris_Northern Fantail,Rhipidura rufiventris,norfan1,Northern Fantail,
Rhipidura teysmanni_Sulawesi Fantail,Rhipidura teysmanni,rubfan2,Sulawesi Fantail,
Rhipidura threnothorax_Sooty Thicket-Fantail,Rhipidura threnothorax,sotfan1,Sooty Thicket Fantail,
Rhipidura verreauxi_Streaked Fantail,Rhipidura verreauxi,strfan5,New Caledonian Streaked Fantail,
Rhodinocichla rosea_Rosy Thrush-Tanager,Rhodinocichla rosea,rottan2,Rosy Thrush-tanager,ROTT
Rhodophoneus cruentus_Rosy-patched Bushshrike,Rhodophoneus cruentus,ropbus1,Rosy-patched Bushshrike,
Rhodospingus cruentus_Crimson-breasted Finch,Rhodospingus cruentus,crbfin1,Crimson-breasted Finch,
Rhodospiza obsoleta_Desert Finch,Rhodospiza obsoleta,desfin2,Desert Finch,
Rhodostethia rosea_Ross's Gull,Rhodostethia rosea,rosgul,Ross's Gull,ROGU
Rhodothraupis celaeno_Crimson-collared Grosbeak,Rhodothraupis celaeno,,,
Rhopias gularis_Star-throated Antwren,Rhopias gularis,sttant1,Star-throated Antwren,
Rhopophilus pekinensis_Beijing Babbler,Rhopophilus pekinensis,beibab1,Beijing Babbler,
Rhopornis ardesiacus_Slender Antbird,Rhopornis ardesiacus,sleant1,Slender Antbird,
Rhopospina alaudina_Band-tailed Sierra Finch,Rhopospina alaudina,btsfin1,Band-tailed Sierra Finch,
Rhopospina caerulescens_Blue Finch,Rhopospina caerulescens,blufin1,Blue Finch,
Rhopospina fruticeti_Mourning Sierra Finch,Rhopospina fruticeti,mosfin1,Mourning Sierra Finch,
Rhynchocyclus brevirostris_Eye-ringed Flatbill,Rhynchocyclus brevirostris,eyrfla1,Eye-ringed Flatbill,ERFL
Rhynchocyclus olivaceus_Olivaceous Flatbill,Rhynchocyclus olivaceus,olifla3,Eastern Olivaceous Flatbill,OLIF
Rhynchophanes mccownii_Thick-billed Longspur,Rhynchophanes mccownii,mcclon,Thick-billed Longspur,TBLO
Rhynchopsitta pachyrhyncha_Thick-billed Parrot,Rhynchopsitta pachyrhyncha,thbpar,Thick-billed Parrot,TBPA
Rhynchopsitta terrisi_Maroon-fronted Parrot,Rhynchopsitta terrisi,mafpar1,Maroon-fronted Parrot,MFPA
Rhynchortyx cinctus_Tawny-faced Quail,Rhynchortyx cinctus,tafqua1,Tawny-faced Quail,TFQU
Rhynchospiza stolzmanni_Tumbes Sparrow,Rhynchospiza stolzmanni,tumspa1,Tumbes Sparrow,
Rhynchospiza strigiceps_Chaco Sparrow,Rhynchospiza strigiceps,stcspa3,Chaco Sparrow,
Rhynchotus rufescens_Red-winged Tinamou,Rhynchotus rufescens,rewtin1,Red-winged Tinamou,
Rhynochetos jubatus_Kagu,Rhynochetos jubatus,kagu1,Kagu,
Rhyticeros cassidix_Knobbed Hornbill,Rhyticeros cassidix,knohor1,Knobbed Hornbill,
Rhyticeros plicatus_Blyth's Hornbill,Rhyticeros plicatus,blyhor1,Blyth's Hornbill,
Rhyticeros undulatus_Wreathed Hornbill,Rhyticeros undulatus,wrehor1,Wreathed Hornbill,
Rhytipterna holerythra_Rufous Mourner,Rhytipterna holerythra,rufmou1,Rufous Mourner,RMOU
Rhytipterna immunda_Pale-bellied Mourner,Rhytipterna immunda,pabmou1,Pale-bellied Mourner,
Rhytipterna simplex_Grayish Mourner,Rhytipterna simplex,gramou1,Greyish Mourner,
Riparia chinensis_Gray-throated Martin,Riparia chinensis,gytmar1,Grey-throated Martin,
Riparia diluta_Pale Sand Martin,Riparia diluta,pasmar1,Pale Martin,
Riparia paludicola_Plain Martin,Riparia paludicola,plamar1,Brown-throated Martin,
Riparia riparia_Bank Swallow,Riparia riparia,banswa,Sand Martin,BANS
Rissa tridactyla_Black-legged Kittiwake,Rissa tridactyla,bklkit,Black-legged Kittiwake,BLKI
Rollulus rouloul_Crested Partridge,Rollulus rouloul,crepar1,Crested Partridge,
Roraimia adusta_Roraiman Barbtail,Roraimia adusta,rorbar1,Roraiman Barbtail,
Rostratula benghalensis_Greater Painted-Snipe,Rostratula benghalensis,grpsni1,Greater Painted-snipe,
Rostrhamus sociabilis_Snail Kite,Rostrhamus sociabilis,snakit,Snail Kite,SNKI
Rubigula erythropthalmos_Spectacled Bulbul,Rubigula erythropthalmos,spebul1,Spectacled Bulbul,
Rubigula flaviventris_Black-crested Bulbul,Rubigula flaviventris,blcbul2,Black-crested Bulbul,
Rubigula gularis_Flame-throated Bulbul,Rubigula gularis,bkcbul1,Flame-throated Bulbul,
Rupicola peruvianus_Andean Cock-of-the-rock,Rupicola peruvianus,andcot1,Andean Cock-of-the-rock,
Rupicola rupicola_Guianan Cock-of-the-rock,Rupicola rupicola,gcoroc1,Guianan Cock-of-the-rock,
Rupornis magnirostris_Roadside Hawk,Rupornis magnirostris,roahaw,Roadside Hawk,ROHA
Rynchops niger_Black Skimmer,Rynchops niger,blkski,Black Skimmer,BLSK
Sakesphorus canadensis_Black-crested Antshrike,Sakesphorus canadensis,blcant4,Black-crested Antshrike,
Sakesphorus cristatus_Silvery-cheeked Antshrike,Sakesphorus cristatus,,,
Sakesphorus luctuosus_Glossy Antshrike,Sakesphorus luctuosus,gloant1,Glossy Antshrike,
Salpinctes obsoletus_Rock Wren,Salpinctes obsoletus,rocwre,Rock Wren,ROWR
Salpornis salvadori_African Spotted Creeper,Salpornis salvadori,spocre2,African Spotted Creeper,
Saltator albicollis_Lesser Antillean Saltator,Saltator albicollis,leasal1,Lesser Antillean Saltator,LASA
Saltator atriceps_Black-headed Saltator,Saltator atriceps,blhsal1,Black-headed Saltator,BHSA
Saltator atripennis_Black-winged Saltator,Saltator atripennis,blwsal1,Black-winged Saltator,
Saltator aurantiirostris_Golden-billed Saltator,Saltator aurantiirostris,gobsal1,Golden-billed Saltator,
Saltator cinctus_Masked Saltator,Saltator cinctus,massal1,Masked Saltator,
Saltator coerulescens_Blue-gray Saltator,Saltator coerulescens,grasal3,Bluish-grey Saltator,
Saltator fuliginosus_Black-throated Grosbeak,Saltator fuliginosus,bltgro2,Black-throated Grosbeak,
Saltator grandis_Cinnamon-bellied Saltator,Saltator grandis,grasal2,Cinnamon-bellied Saltator,CIBS
Saltator grossus_Slate-colored Grosbeak,Saltator grossus,slcgro1,Slate-colored Grosbeak,SCOG
Saltator maxillosus_Thick-billed Saltator,Saltator maxillosus,thbsal1,Thick-billed Saltator,
Saltator maximus_Buff-throated Saltator,Saltator maximus,butsal1,Buff-throated Saltator,BTSA
Saltator nigriceps_Black-cowled Saltator,Saltator nigriceps,blcsal1,Black-cowled Saltator,
Saltator olivascens_Olivaceous Saltator,Saltator olivascens,grasal4,Olive-grey Saltator,
Saltator orenocensis_Orinocan Saltator,Saltator orenocensis,orisal1,Orinoco Saltator,
Saltator similis_Green-winged Saltator,Saltator similis,grwsal1,Green-winged Saltator,
Saltator striatipectus_Streaked Saltator,Saltator striatipectus,strsal1,Streaked Saltator,SSAL
Saltatricula atricollis_Black-throated Saltator,Saltatricula atricollis,bltsal1,Black-throated Saltator,
Saltatricula multicolor_Many-colored Chaco Finch,Saltatricula multicolor,mccfin1,Many-colored Chaco Finch,
Sapayoa aenigma_Sapayoa,Sapayoa aenigma,sapayo1,Sapayoa,SAPA
Sappho sparganurus_Red-tailed Comet,Sappho sparganurus,retcom1,Red-tailed Comet,
Sarcops calvus_Coleto,Sarcops calvus,coleto1,Coleto,
Sarothrura elegans_Buff-spotted Flufftail,Sarothrura elegans,busflu1,Buff-spotted Flufftail,
Sarothrura insularis_Madagascar Flufftail,Sarothrura insularis,madflu1,Madagascar Flufftail,
Sarothrura pulchra_White-spotted Flufftail,Sarothrura pulchra,whsflu1,White-spotted Flufftail,
Sarothrura rufa_Red-chested Flufftail,Sarothrura rufa,recflu1,Red-chested Flufftail,
Sasia abnormis_Rufous Piculet,Sasia abnormis,rufpic1,Rufous Piculet,
Sasia ochracea_White-browed Piculet,Sasia ochracea,whbpic3,White-browed Piculet,
Saucerottia beryllina_Berylline Hummingbird,Saucerottia beryllina,berhum,Berylline Hummingbird,BEHU
Saucerottia cyanocephala_Azure-crowned Hummingbird,Saucerottia cyanocephala,azchum1,Azure-crowned Hummingbird,AZCH
Saucerottia tobaci_Copper-rumped Hummingbird,Saucerottia tobaci,corhum1,Copper-rumped Hummingbird,
Saundersilarus saundersi_Saunders's Gull,Saundersilarus saundersi,saugul2,Saunders's Gull,
Saxicola caprata_Pied Bushchat,Saxicola caprata,piebus1,Pied Bush Chat,
Saxicola ferreus_Gray Bushchat,Saxicola ferreus,grybus1,Grey Bush Chat,
Saxicola maurus_Siberian Stonechat,Saxicola maurus,sibsto1,Siberian Stonechat,ASST
Saxicola rubetra_Whinchat,Saxicola rubetra,whinch1,Whinchat,
Saxicola rubicola_European Stonechat,Saxicola rubicola,stonec4,European Stonechat,
Saxicola stejnegeri_Amur Stonechat,Saxicola stejnegeri,,,
Saxicola torquatus_African Stonechat,Saxicola torquatus,afrsto1,African Stonechat,
Sayornis nigricans_Black Phoebe,Sayornis nigricans,blkpho,Black Phoebe,BLPH
Sayornis phoebe_Eastern Phoebe,Sayornis phoebe,easpho,Eastern Phoebe,EAPH
Sayornis saya_Say's Phoebe,Sayornis saya,saypho,Say's Phoebe,SAPH
Scaphiopus couchii_Couch's Spadefoot,Scaphiopus couchii,,,
Scelorchilus albicollis_White-throated Tapaculo,Scelorchilus albicollis,whttap1,White-throated Tapaculo,
Scelorchilus rubecula_Chucao Tapaculo,Scelorchilus rubecula,chutap1,Chucao Tapaculo,
Scenopoeetes dentirostris_Tooth-billed Bowerbird,Scenopoeetes dentirostris,tobcat2,Tooth-billed Bowerbird,
Schetba rufa_Rufous Vanga,Schetba rufa,rufvan1,Rufous Vanga,
Schiffornis aenea_Foothill Schiffornis,Schiffornis aenea,thlsch8,Foothill Schiffornis,
Schiffornis major_Varzea Schiffornis,Schiffornis major,varsch1,Varzea Schiffornis,
Schiffornis olivacea_Olivaceous Schiffornis,Schiffornis olivacea,thlsch7,Guianan Schiffornis,
Schiffornis stenorhyncha_Russet-winged Schiffornis,Schiffornis stenorhyncha,thlsch4,Russet-winged Schiffornis,RWSC
Schiffornis turdina_Brown-winged Schiffornis,Schiffornis turdina,thlsch3,Brown-winged Schiffornis,
Schiffornis veraepacis_Northern Schiffornis,Schiffornis veraepacis,thlsch2,Northern Schiffornis,NOSC
Schiffornis virescens_Greenish Schiffornis,Schiffornis virescens,gresch2,Greenish Schiffornis,
Schistes geoffroyi_Geoffroy's Daggerbill,Schistes geoffroyi,webhum1,Geoffroy's Daggerbill,
Schistochlamys melanopis_Black-faced Tanager,Schistochlamys melanopis,blftan1,Black-faced Tanager,
Schistochlamys ruficapillus_Cinnamon Tanager,Schistochlamys ruficapillus,cintan1,Cinnamon Tanager,
Schoenicola platyurus_Broad-tailed Grassbird,Schoenicola platyurus,brtgra2,Broad-tailed Grassbird,
Schoenicola striatus_Bristled Grassbird,Schoenicola striatus,brigra2,Bristled Grassbird,
Schoeniophylax phryganophilus_Chotoy Spinetail,Schoeniophylax phryganophilus,chospi2,Chotoy Spinetail,
Schoeniparus brunneus_Dusky Fulvetta,Schoeniparus brunneus,dusful1,Dusky Fulvetta,
Schoeniparus castaneceps_Rufous-winged Fulvetta,Schoeniparus castaneceps,ruwful1,Rufous-winged Fulvetta,
Schoeniparus cinereus_Yellow-throated Fulvetta,Schoeniparus cinereus,yetful1,Yellow-throated Fulvetta,
Schoeniparus dubius_Rusty-capped Fulvetta,Schoeniparus dubius,rucful1,Rusty-capped Fulvetta,
Schoeniparus rufogularis_Rufous-throated Fulvetta,Schoeniparus rufogularis,rutful1,Rufous-throated Fulvetta,
Sciaphylax castanea_Zimmer's Antbird,Sciaphylax castanea,zimant1,Northern Chestnut-tailed Antbird,
Sciaphylax hemimelaena_Chestnut-tailed Antbird,Sciaphylax hemimelaena,chtant2,Southern Chestnut-tailed Antbird,
Sciurus carolinensis_Eastern Gray Squirrel,Sciurus carolinensis,,,
Sclateria naevia_Silvered Antbird,Sclateria naevia,silant1,Silvered Antbird,
Scleroptila afra_Gray-winged Francolin,Scleroptila afra,gywfra1,Grey-winged Francolin,
Scleroptila gutturalis_Orange River Francolin,Scleroptila gutturalis,orrfra2,Orange River Francolin,
Scleroptila levaillantii_Red-winged Francolin,Scleroptila levaillantii,rewfra2,Red-winged Francolin,
Scleroptila shelleyi_Shelley's Francolin,Scleroptila shelleyi,shefra1,Shelley's Francolin,
Sclerurus albigularis_Gray-throated Leaftosser,Sclerurus albigularis,grtlea1,Grey-throated Leaftosser,GTLE
Sclerurus caudacutus_Black-tailed Leaftosser,Sclerurus caudacutus,bltlea1,Black-tailed Leaftosser,
Sclerurus guatemalensis_Scaly-throated Leaftosser,Sclerurus guatemalensis,sctlea1,Scaly-throated Leaftosser,STLE
Sclerurus mexicanus_Middle American Leaftosser,Sclerurus mexicanus,tatlea1,Tawny-throated Leaftosser,TTLE
Sclerurus obscurior_South American Leaftosser,Sclerurus obscurior,soalea1,Dusky Leaftosser,
Sclerurus rufigularis_Short-billed Leaftosser,Sclerurus rufigularis,shblea1,Short-billed Leaftosser,
Sclerurus scansor_Rufous-breasted Leaftosser,Sclerurus scansor,rublea1,Rufous-breasted Leaftosser,
Scolopax bukidnonensis_Bukidnon Woodcock,Scolopax bukidnonensis,bukwoo1,Bukidnon Woodcock,
Scolopax minor_American Woodcock,Scolopax minor,amewoo,American Woodcock,AMWO
Scolopax rusticola_Eurasian Woodcock,Scolopax rusticola,eurwoo,Eurasian Woodcock,EUWO
Scopus umbretta_Hamerkop,Scopus umbretta,hamerk1,Hamerkop,
Scotocerca inquieta_Scrub Warbler,Scotocerca inquieta,stswar1,Streaked Scrub Warbler,
Scudderia curvicauda_Curve-tailed Bush Katydid,Scudderia curvicauda,,,
Scudderia furcata_Fork-tailed Bush Katydid,Scudderia furcata,,,
Scudderia texensis_Texas Bush Katydid,Scudderia texensis,,,
Scytalopus acutirostris_Tschudi's Tapaculo,Scytalopus acutirostris,tsctap1,Tschudi's Tapaculo,
Scytalopus affinis_Ancash Tapaculo,Scytalopus affinis,anctap1,Ancash Tapaculo,
Scytalopus altirostris_Neblina Tapaculo,Scytalopus altirostris,nebtap1,Neblina Tapaculo,
Scytalopus alvarezlopezi_Tatama Tapaculo,Scytalopus alvarezlopezi,alptap1,Tatama Tapaculo,
Scytalopus androstictus_Loja Tapaculo,Scytalopus androstictus,partap4,Loja Tapaculo,
Scytalopus argentifrons_Silvery-fronted Tapaculo,Scytalopus argentifrons,siftap1,Silvery-fronted Tapaculo,SFTA
Scytalopus atratus_White-crowned Tapaculo,Scytalopus atratus,whctap1,White-crowned Tapaculo,
Scytalopus bolivianus_Bolivian Tapaculo,Scytalopus bolivianus,boltap1,Bolivian Tapaculo,
Scytalopus canus_Paramillo Tapaculo,Scytalopus canus,partap1,Paramillo Tapaculo,
Scytalopus caracae_Caracas Tapaculo,Scytalopus caracae,cartap1,Caracas Tapaculo,
Scytalopus chocoensis_Choco Tapaculo,Scytalopus chocoensis,chotap1,Choco Tapaculo,CHTA
Scytalopus diamantinensis_Diamantina Tapaculo,Scytalopus diamantinensis,diatap2,Diamantina Tapaculo,
Scytalopus femoralis_Rufous-vented Tapaculo,Scytalopus femoralis,ruvtap1,Rufous-vented Tapaculo,
Scytalopus frankeae_Jalca Tapaculo,Scytalopus frankeae,miltap1,Jalca Tapaculo,
Scytalopus fuscus_Dusky Tapaculo,Scytalopus fuscus,dustap1,Dusky Tapaculo,
Scytalopus griseicollis_Pale-bellied Tapaculo,Scytalopus griseicollis,mattap1,Pale-bellied Tapaculo,
Scytalopus intermedius_Utcubamba Tapaculo,Scytalopus intermedius,blatap2,Utcubamba Tapaculo,
Scytalopus iraiensis_Marsh Tapaculo,Scytalopus iraiensis,martap1,Marsh Tapaculo,
Scytalopus latebricola_Brown-rumped Tapaculo,Scytalopus latebricola,brrtap1,Brown-rumped Tapaculo,
Scytalopus latrans_Blackish Tapaculo,Scytalopus latrans,blatap1,Blackish Tapaculo,
Scytalopus macropus_Large-footed Tapaculo,Scytalopus macropus,laftap1,Large-footed Tapaculo,
Scytalopus magellanicus_Magellanic Tapaculo,Scytalopus magellanicus,magtap1,Magellanic Tapaculo,
Scytalopus meridanus_Merida Tapaculo,Scytalopus meridanus,mertap1,Merida Tapaculo,
Scytalopus micropterus_Long-tailed Tapaculo,Scytalopus micropterus,lottap1,Long-tailed Tapaculo,
Scytalopus novacapitalis_Brasilia Tapaculo,Scytalopus novacapitalis,bratap1,Brasilia Tapaculo,
Scytalopus opacus_Paramo Tapaculo,Scytalopus opacus,partap2,Paramo Tapaculo,
Scytalopus pachecoi_Planalto Tapaculo,Scytalopus pachecoi,platap1,Planalto Tapaculo,
Scytalopus parkeri_Chusquea Tapaculo,Scytalopus parkeri,chutap2,Chusquea Tapaculo,
Scytalopus parvirostris_Trilling Tapaculo,Scytalopus parvirostris,tritap1,Trilling Tapaculo,
Scytalopus perijanus_Perija Tapaculo,Scytalopus perijanus,pertap1,Perija Tapaculo,
Scytalopus petrophilus_Rock Tapaculo,Scytalopus petrophilus,roctap1,Rock Tapaculo,
Scytalopus robbinsi_Ecuadorian Tapaculo,Scytalopus robbinsi,ecutap1,El Oro Tapaculo,
Scytalopus rodriguezi_Magdalena Tapaculo,Scytalopus rodriguezi,upmtap1,Magdalena Tapaculo,
Scytalopus sanctaemartae_Santa Marta Tapaculo,Scytalopus sanctaemartae,samtap1,Santa Marta Tapaculo,
Scytalopus schulenbergi_Diademed Tapaculo,Scytalopus schulenbergi,diatap1,Diademed Tapaculo,
Scytalopus simonsi_Puna Tapaculo,Scytalopus simonsi,puntap1,Puna Tapaculo,
Scytalopus speluncae_Mouse-colored Tapaculo,Scytalopus speluncae,moctap1,Mouse-colored Tapaculo,
Scytalopus spillmanni_Spillmann's Tapaculo,Scytalopus spillmanni,spitap2,Spillmann's Tapaculo,
Scytalopus stilesi_Stiles's Tapaculo,Scytalopus stilesi,stitap1,Stiles's Tapaculo,
Scytalopus superciliaris_White-browed Tapaculo,Scytalopus superciliaris,whbtap2,White-browed Tapaculo,
Scytalopus unicolor_Unicolored Tapaculo,Scytalopus unicolor,unitap1,Unicolored Tapaculo,
Scytalopus urubambae_Vilcabamba Tapaculo,Scytalopus urubambae,viltap1,Vilcabamba Tapaculo,
Scytalopus vicinior_Nariño Tapaculo,Scytalopus vicinior,nartap2,Narino Tapaculo,
Scytalopus zimmeri_Zimmer's Tapaculo,Scytalopus zimmeri,zimtap1,Zimmer's Tapaculo,
Scythrops novaehollandiae_Channel-billed Cuckoo,Scythrops novaehollandiae,chbcuc2,Channel-billed Cuckoo,
Seiurus aurocapilla_Ovenbird,Seiurus aurocapilla,ovenbi1,Ovenbird,OVEN
Selasphorus calliope_Calliope Hummingbird,Selasphorus calliope,calhum,Calliope Hummingbird,CAHU
Selasphorus ellioti_Wine-throated Hummingbird,Selasphorus ellioti,withum1,Wine-throated Hummingbird,WTHH
Selasphorus heloisa_Bumblebee Hummingbird,Selasphorus heloisa,bumhum,Bumblebee Hummingbird,BUHU
Selasphorus platycercus_Broad-tailed Hummingbird,Selasphorus platycercus,brthum,Broad-tailed Hummingbird,BTHU
Selasphorus rufus_Rufous Hummingbird,Selasphorus rufus,rufhum,Rufous Hummingbird,RUHU
Selasphorus sasin_Allen's Hummingbird,Selasphorus sasin,allhum,Allen's Hummingbird,ALHU
Selenidera gouldii_Gould's Toucanet,Selenidera gouldii,goutou1,Gould's Toucanet,
Selenidera maculirostris_Spot-billed Toucanet,Selenidera maculirostris,spbtou1,Spot-billed Toucanet,
Selenidera piperivora_Guianan Toucanet,Selenidera piperivora,guitou1,Guianan Toucanet,
Selenidera reinwardtii_Golden-collared Toucanet,Selenidera reinwardtii,goctou1,Golden-collared Toucanet,
Selenidera spectabilis_Yellow-eared Toucanet,Selenidera spectabilis,yeetou1,Yellow-eared Toucanet,YETO
Seleucidis melanoleucus_Twelve-wired Bird-of-Paradise,Seleucidis melanoleucus,twwbop1,Twelve-wired Bird-of-paradise,
Semioptera wallacii_Standardwing Bird-of-Paradise,Semioptera wallacii,walsta2,Standardwing,
Semnornis frantzii_Prong-billed Barbet,Semnornis frantzii,prbbar1,Prong-billed Barbet,PBBA
Semnornis ramphastinus_Toucan Barbet,Semnornis ramphastinus,toubar1,Toucan Barbet,
Sephanoides sephaniodes_Green-backed Firecrown,Sephanoides sephaniodes,grbfir1,Green-backed Firecrown,
Sericornis citreogularis_Yellow-throated Scrubwren,Sericornis citreogularis,,,
Sericornis frontalis_White-browed Scrubwren,Sericornis frontalis,whbscr1,White-browed Scrubwren,
Sericornis humilis_Tasmanian Scrubwren,Sericornis humilis,tasscr1,Tasmanian Scrubwren,
Sericornis magnirostra_Large-billed Scrubwren,Sericornis magnirostra,labscr2,Large-billed Scrubwren,
Sericornis papuensis_Papuan Scrubwren,Sericornis papuensis,,,
Sericossypha albocristata_White-capped Tanager,Sericossypha albocristata,whctan1,White-capped Tanager,
Serilophus lunatus_Silver-breasted Broadbill,Serilophus lunatus,sibbro3,Silver-breasted Broadbill,
Serinus alario_Black-headed Canary,Serinus alario,bkhcan2,Black-headed Canary,
Serinus canaria_Island Canary,Serinus canaria,comcan,Atlantic Canary,ISCA
Serinus canicollis_Cape Canary,Serinus canicollis,capcan1,Cape Canary,
Serinus flavivertex_Yellow-crowned Canary,Serinus flavivertex,yeccan1,Yellow-crowned Canary,
Serinus pusillus_Fire-fronted Serin,Serinus pusillus,fifser1,Red-fronted Serin,
Serinus serinus_European Serin,Serinus serinus,eurser1,European Serin,
Serpophaga cinerea_Torrent Tyrannulet,Serpophaga cinerea,tortyr1,Torrent Tyrannulet,TOTY
