composite,scientific_name,ebird_code,common_name,alpha
Bradypterus cinnamomeus_Cinnamon Bracken-Warbler,Bradypterus cinnamomeus,cibwar1,Cinnamon Bracken Warbler,
Bradypterus lopezi_Evergreen-forest Warbler,Bradypterus lopezi,camscw1,Evergreen Forest Warbler,
Bradypterus sylvaticus_Knysna Warbler,Bradypterus sylvaticus,knswar1,Knysna Warbler,
Branta bernicla_Brant,Branta bernicla,brant,Brant Goose,BRAN
Branta canadensis_Canada Goose,Branta canadensis,cangoo,Canada Goose,CANG
Branta hutchinsii_Cackling Goose,Branta hutchinsii,cacgoo1,Cackling Goose,CACG
Branta leucopsis_Barnacle Goose,Branta leucopsis,bargoo,Barnacle Goose,BARG
Branta sandvicensis_Hawaiian Goose,Branta sandvicensis,hawgoo,Nene,HAGO
Brotogeris chiriri_Yellow-chevroned Parakeet,Brotogeris chiriri,yecpar,Yellow-chevroned Parakeet,YCPA
Brotogeris chrysoptera_Golden-winged Parakeet,Brotogeris chrysoptera,gowpar2,Golden-winged Parakeet,
Brotogeris cyanoptera_Cobalt-winged Parakeet,Brotogeris cyanoptera,cowpar1,Cobalt-winged Parakeet,
Brotogeris jugularis_Orange-chinned Parakeet,Brotogeris jugularis,orcpar,Orange-chinned Parakeet,OCPA
Brotogeris pyrrhoptera_Gray-cheeked Parakeet,Brotogeris pyrrhoptera,gycpar1,Grey-cheeked Parakeet,
Brotogeris sanctithomae_Tui Parakeet,Brotogeris sanctithomae,tuipar1,Tui Parakeet,
Brotogeris tirica_Plain Parakeet,Brotogeris tirica,plapar1,Plain Parakeet,
Brotogeris versicolurus_White-winged Parakeet,Brotogeris versicolurus,whwpar,White-winged Parakeet,WWPA
Bubalornis albirostris_White-billed Buffalo-Weaver,Bubalornis albirostris,wbbwea1,White-billed Buffalo Weaver,
Bubalornis niger_Red-billed Buffalo-Weaver,Bubalornis niger,rbbwea1,Red-billed Buffalo Weaver,
Bubo africanus_Spotted Eagle-Owl,Bubo africanus,spoeao2,Spotted Eagle-Owl,
Bubo bengalensis_Rock Eagle-Owl,Bubo bengalensis,roeowl1,Indian Eagle-Owl,
Bubo bubo_Eurasian Eagle-Owl,Bubo bubo,eueowl1,Eurasian Eagle-Owl,
Bubo coromandus_Dusky Eagle-Owl,Bubo coromandus,,,
Bubo lacteus_Verreaux's Eagle-Owl,Bubo lacteus,,,
Bubo nipalensis_Spot-bellied Eagle-Owl,Bubo nipalensis,,,
Bubo scandiacus_Snowy Owl,Bubo scandiacus,snoowl1,Snowy Owl,SNOW
Bubo sumatranus_Barred Eagle-Owl,Bubo sumatranus,,,
Bubo virginianus_Great Horned Owl,Bubo virginianus,grhowl,Great Horned Owl,GHOW
Bubulcus ibis_Cattle Egret,Bubulcus ibis,,,
Bucanetes githagineus_Trumpeter Finch,Bucanetes githagineus,trufin2,Trumpeter Finch,
Buccanodon duchaillui_Yellow-spotted Barbet,Buccanodon duchaillui,yesbar1,Yellow-spotted Barbet,
Bucco capensis_Collared Puffbird,Bucco capensis,colpuf1,Collared Puffbird,
Bucco macrodactylus_Chestnut-capped Puffbird,Bucco macrodactylus,chcpuf1,Chestnut-capped Puffbird,
Bucco tamatia_Spotted Puffbird,Bucco tamatia,spopuf1,Spotted Puffbird,
Bucephala albeola_Bufflehead,Bucephala albeola,buffle,Bufflehead,BUFF
Bucephala clangula_Common Goldeneye,Bucephala clangula,comgol,Common Goldeneye,COGO
Bucephala islandica_Barrow's Goldeneye,Bucephala islandica,bargol,Barrow's Goldeneye,BAGO
Buceros bicornis_Great Hornbill,Buceros bicornis,grehor1,Great Hornbill,
Buceros hydrocorax_Rufous Hornbill,Buceros hydrocorax,rufhor1,Rufous Hornbill,
Buceros rhinoceros_Rhinoceros Hornbill,Buceros rhinoceros,rhihor1,Rhinoceros Hornbill,
Buceros vigil_Helmeted Hornbill,Buceros vigil,,,
Bucorvus leadbeateri_Southern Ground-Hornbill,Bucorvus leadbeateri,soghor1,Southern Ground Hornbill,
Bulweria bulwerii_Bulwer's Petrel,Bulweria bulwerii,bulpet,Bulwer's Petrel,BUPE
Buphagus africanus_Yellow-billed Oxpecker,Buphagus africanus,yeboxp1,Yellow-billed Oxpecker,
Buphagus erythrorynchus_Red-billed Oxpecker,Buphagus erythrorynchus,,,
Burhinus bistriatus_Double-striped Thick-knee,Burhinus bistriatus,,,
Burhinus capensis_Spotted Thick-knee,Burhinus capensis,sptkne1,Spotted Thick-knee,
Burhinus grallarius_Bush Thick-knee,Burhinus grallarius,butkne1,Bush Stone-curlew,
Burhinus indicus_Indian Thick-knee,Burhinus indicus,indthk1,Indian Stone-curlew,
Burhinus oedicnemus_Eurasian Thick-knee,Burhinus oedicnemus,eutkne1,Eurasian Stone-curlew,
Burhinus senegalensis_Senegal Thick-knee,Burhinus senegalensis,setkne1,Senegal Thick-knee,
Burhinus superciliaris_Peruvian Thick-knee,Burhinus superciliaris,,,
Burhinus vermiculatus_Water Thick-knee,Burhinus vermiculatus,watkne1,Water Thick-knee,
Busarellus nigricollis_Black-collared Hawk,Busarellus nigricollis,blchaw1,Black-collared Hawk,BCHA
Butastur indicus_Gray-faced Buzzard,Butastur indicus,gyfbuz1,Grey-faced Buzzard,
Butastur teesa_White-eyed Buzzard,Butastur teesa,whebuz1,White-eyed Buzzard,
Buteo albigula_White-throated Hawk,Buteo albigula,whthaw1,White-throated Hawk,
Buteo albonotatus_Zone-tailed Hawk,Buteo albonotatus,zothaw,Zone-tailed Hawk,ZTHA
Buteo augur_Augur Buzzard,Buteo augur,augbuz2,Augur Buzzard,
Buteo brachypterus_Madagascar Buzzard,Buteo brachypterus,madbuz1,Madagascar Buzzard,
Buteo brachyurus_Short-tailed Hawk,Buteo brachyurus,shthaw,Short-tailed Hawk,STHA
Buteo buteo_Common Buzzard,Buteo buteo,combuz1,Common Buzzard,
Buteo jamaicensis_Red-tailed Hawk,Buteo jamaicensis,rethaw,Red-tailed Hawk,RTHA
Buteo japonicus_Eastern Buzzard,Buteo japonicus,combuz6,Eastern Buzzard,
Buteo lagopus_Rough-legged Hawk,Buteo lagopus,rolhaw,Rough-legged Buzzard,RLHA
Buteo lineatus_Red-shouldered Hawk,Buteo lineatus,reshaw,Red-shouldered Hawk,RSHA
Buteo nitidus_Gray-lined Hawk,Buteo nitidus,gryhaw3,Grey-lined Hawk,GLHA
Buteo oreophilus_Mountain Buzzard,Buteo oreophilus,moubuz2,Mountain Buzzard,
Buteo plagiatus_Gray Hawk,Buteo plagiatus,gryhaw2,Grey Hawk,GRHA
Buteo platypterus_Broad-winged Hawk,Buteo platypterus,brwhaw,Broad-winged Hawk,BWHA
Buteo regalis_Ferruginous Hawk,Buteo regalis,ferhaw,Ferruginous Hawk,FEHA
Buteo ridgwayi_Ridgway's Hawk,Buteo ridgwayi,ridhaw1,Ridgway's Hawk,RIHA
Buteo solitarius_Hawaiian Hawk,Buteo solitarius,hawhaw,Hawaiian Hawk,HAWH
Buteo swainsoni_Swainson's Hawk,Buteo swainsoni,swahaw,Swainson's Hawk,SWHA
Buteogallus anthracinus_Common Black Hawk,Buteogallus anthracinus,comblh1,Common Black Hawk,COBH
Buteogallus coronatus_Chaco Eagle,Buteogallus coronatus,croeag1,Chaco Eagle,
Buteogallus meridionalis_Savanna Hawk,Buteogallus meridionalis,savhaw1,Savanna Hawk,SAHA
Buteogallus schistaceus_Slate-colored Hawk,Buteogallus schistaceus,slchaw2,Slate-colored Hawk,
Buteogallus solitarius_Solitary Eagle,Buteogallus solitarius,soleag1,Solitary Eagle,SOEA
Buteogallus urubitinga_Great Black Hawk,Buteogallus urubitinga,grbhaw1,Great Black Hawk,GBHA
Buthraupis montana_Hooded Mountain Tanager,Buthraupis montana,homtan1,Hooded Mountain Tanager,
Butorides striata_Striated Heron,Butorides striata,strher,Striated Heron,STRH
Butorides virescens_Green Heron,Butorides virescens,grnher,Green Heron,GRHE
Bycanistes albotibialis_White-thighed Hornbill,Bycanistes albotibialis,whthor1,White-thighed Hornbill,
Bycanistes brevis_Silvery-cheeked Hornbill,Bycanistes brevis,sichor1,Silvery-cheeked Hornbill,
Bycanistes bucinator_Trumpeter Hornbill,Bycanistes bucinator,truhor1,Trumpeter Hornbill,
Bycanistes fistulator_Piping Hornbill,Bycanistes fistulator,piphor1,Piping Hornbill,
Bycanistes subcylindricus_Black-and-white-casqued Hornbill,Bycanistes subcylindricus,bawhor2,Black-and-white-casqued Hornbill,
Cacatua alba_White Cockatoo,Cacatua alba,whicoc1,White Cockatoo,
Cacatua ducorpsii_Ducorps's Cockatoo,Cacatua ducorpsii,duccoc1,Solomons Corella,
Cacatua galerita_Sulphur-crested Cockatoo,Cacatua galerita,succoc,Sulphur-crested Cockatoo,
Cacatua goffiniana_Tanimbar Corella,Cacatua goffiniana,tancoc1,Tanimbar Corella,
Cacatua sanguinea_Little Corella,Cacatua sanguinea,litcor2,Little Corella,
Cacatua tenuirostris_Long-billed Corella,Cacatua tenuirostris,lobcor1,Long-billed Corella,
Cacicus cela_Yellow-rumped Cacique,Cacicus cela,yercac1,Yellow-rumped Cacique,YRCA
Cacicus chrysonotus_Mountain Cacique,Cacicus chrysonotus,moucac1,Mountain Cacique,
Cacicus chrysopterus_Golden-winged Cacique,Cacicus chrysopterus,gowcac1,Golden-winged Cacique,
Cacicus haemorrhous_Red-rumped Cacique,Cacicus haemorrhous,rercac1,Red-rumped Cacique,
Cacicus latirostris_Band-tailed Cacique,Cacicus latirostris,batoro1,Band-tailed Cacique,
Cacicus oseryi_Casqued Cacique,Cacicus oseryi,casoro2,Casqued Cacique,
Cacicus solitarius_Solitary Black Cacique,Cacicus solitarius,sobcac1,Solitary Cacique,
Cacicus uropygialis_Scarlet-rumped Cacique,Cacicus uropygialis,scrcac1,Scarlet-rumped Cacique,SRCA
Cacomantis castaneiventris_Chestnut-breasted Cuckoo,Cacomantis castaneiventris,chbcuc3,Chestnut-breasted Cuckoo,
Cacomantis flabelliformis_Fan-tailed Cuckoo,Cacomantis flabelliformis,fatcuc1,Fan-tailed Cuckoo,
Cacomantis leucolophus_White-crowned Koel,Cacomantis leucolophus,,,
Cacomantis merulinus_Plaintive Cuckoo,Cacomantis merulinus,placuc1,Plaintive Cuckoo,
Cacomantis pallidus_Pallid Cuckoo,Cacomantis pallidus,,,
Cacomantis passerinus_Gray-bellied Cuckoo,Cacomantis passerinus,placuc3,Grey-bellied Cuckoo,
Cacomantis sonneratii_Banded Bay Cuckoo,Cacomantis sonneratii,babcuc2,Banded Bay Cuckoo,
Cacomantis variolosus_Brush Cuckoo,Cacomantis variolosus,brucuc3,Sahul Brush Cuckoo,
Cairina moschata_Muscovy Duck,Cairina moschata,musduc,Muscovy Duck,MUDU
Calamanthus fuliginosus_Striated Fieldwren,Calamanthus fuliginosus,strfie1,Striated Fieldwren,
Calamonastes fasciolatus_Barred Wren-Warbler,Calamonastes fasciolatus,bawwar1,Barred Wren-Warbler,
Calamonastes simplex_Gray Wren-Warbler,Calamonastes simplex,grywrw1,Grey Wren-Warbler,
Calamonastes stierlingi_Stierling's Wren-Warbler,Calamonastes stierlingi,miowrw3,Stierling's Wren-Warbler,
Calamospiza melanocorys_Lark Bunting,Calamospiza melanocorys,larbun,Lark Bunting,LARB
Calandrella acutirostris_Hume's Lark,Calandrella acutirostris,humlar1,Hume's Short-toed Lark,
Calandrella brachydactyla_Greater Short-toed Lark,Calandrella brachydactyla,gstlar1,Greater Short-toed Lark,
Calandrella cinerea_Red-capped Lark,Calandrella cinerea,reclar1,Red-capped Lark,
Calandrella dukhunensis_Mongolian Short-toed Lark,Calandrella dukhunensis,sstlar4,Mongolian Short-toed Lark,
Calcarius lapponicus_Lapland Longspur,Calcarius lapponicus,laplon,Lapland Longspur,LALO
Calcarius ornatus_Chestnut-collared Longspur,Calcarius ornatus,chclon,Chestnut-collared Longspur,CCLO
Calcarius pictus_Smith's Longspur,Calcarius pictus,smilon,Smith's Longspur,SMLO
Calendulauda africanoides_Fawn-colored Lark,Calendulauda africanoides,faclar8,Fawn-colored Lark,
Calendulauda albescens_Karoo Lark,Calendulauda albescens,karlar2,Karoo Lark,
Calendulauda alopex_Foxy Lark,Calendulauda alopex,,,
Calendulauda poecilosterna_Pink-breasted Lark,Calendulauda poecilosterna,piblar3,Pink-breasted Lark,
Calendulauda sabota_Sabota Lark,Calendulauda sabota,sablar2,Sabota Lark,
Calicalicus madagascariensis_Red-tailed Vanga,Calicalicus madagascariensis,retvan1,Red-tailed Vanga,
Calidris acuminata_Sharp-tailed Sandpiper,Calidris acuminata,shtsan,Sharp-tailed Sandpiper,SPTS
Calidris alba_Sanderling,Calidris alba,sander,Sanderling,SAND
Calidris alpina_Dunlin,Calidris alpina,dunlin,Dunlin,DUNL
Calidris bairdii_Baird's Sandpiper,Calidris bairdii,baisan,Baird's Sandpiper,BASA
Calidris canutus_Red Knot,Calidris canutus,redkno,Red Knot,REKN
Calidris falcinellus_Broad-billed Sandpiper,Calidris falcinellus,brbsan,Broad-billed Sandpiper,BBIS
Calidris ferruginea_Curlew Sandpiper,Calidris ferruginea,cursan,Curlew Sandpiper,CUSA
Calidris fuscicollis_White-rumped Sandpiper,Calidris fuscicollis,whrsan,White-rumped Sandpiper,WRSA
Calidris himantopus_Stilt Sandpiper,Calidris himantopus,stisan,Stilt Sandpiper,STSA
Calidris maritima_Purple Sandpiper,Calidris maritima,pursan,Purple Sandpiper,PUSA
Calidris mauri_Western Sandpiper,Calidris mauri,wessan,Western Sandpiper,WESA
Calidris melanotos_Pectoral Sandpiper,Calidris melanotos,pecsan,Pectoral Sandpiper,PESA
Calidris minuta_Little Stint,Calidris minuta,litsti,Little Stint,LIST
Calidris minutilla_Least Sandpiper,Calidris minutilla,leasan,Least Sandpiper,LESA
Calidris ptilocnemis_Rock Sandpiper,Calidris ptilocnemis,rocsan,Rock Sandpiper,ROSA
Calidris pugnax_Ruff,Calidris pugnax,ruff,Ruff,RUFF
Calidris pusilla_Semipalmated Sandpiper,Calidris pusilla,semsan,Semipalmated Sandpiper,SESA
Calidris pygmaea_Spoon-billed Sandpiper,Calidris pygmaea,spbsan1,Spoon-billed Sandpiper,
Calidris ruficollis_Red-necked Stint,Calidris ruficollis,rensti,Red-necked Stint,RNST
Calidris subminuta_Long-toed Stint,Calidris subminuta,lotsti,Long-toed Stint,LTST
Calidris subruficollis_Buff-breasted Sandpiper,Calidris subruficollis,bubsan,Buff-breasted Sandpiper,BBSA
Calidris temminckii_Temminck's Stint,Calidris temminckii,temsti,Temminck's Stint,TEST
Calidris tenuirostris_Great Knot,Calidris tenuirostris,grekno,Great Knot,GRKN
